SEASON,NAME,AGE,EARNINGS,CUP,EVNTS,RNDS,CUTS,TOP10,WINS,SCORE,DDIS,DACC,GIR,PUTTS,SAND,BIRDS
2022,Cam Davis,28,"$1,989,011",895,25,82,18,5,0,70.1,308.5,55.7,65.3,1.74,54.8,4
2022,Alex Noren,41,"$1,971,531",710,22,64,15,3,0,70,299.8,56.2,65.7,1.765,59,3.594
2022,Lucas Glover,44,"$1,941,796",1014,28,93,19,2,0,70.8,297.5,67.5,68.3,1.79,41.7,3.71
2022,Andrew Putnam,34,"$1,920,393",989,30,94,18,2,0,70,284.8,64.5,66.5,1.765,57.9,3.543
2023,Tyler Duncan,34,"$1,917,561",403,34,94,14,3,0,70.1,298.8,67.4,70.8,1.777,44.9,3.819
2022,Matt Jones,43,"$1,914,560",653,20,61,10,2,0,70.3,306.5,54.2,65.6,1.756,51.3,3.787
2023,Ben Taylor,31,"$1,912,677",592,35,106,18,4,0,70.9,304.1,50.4,64.8,1.767,48.4,3.585
2022,Chez Reavie,42,"$1,908,670",766,28,85,17,3,1,70.6,283.9,70.4,66.5,1.775,49.6,3.435
2022,Troy Merritt,38,"$1,906,304",777,26,91,20,2,0,70.3,292.2,64,63.3,1.739,49.7,3.659
2023,Christiaan Bezuidenhout,29,"$1,886,083",405,28,89,19,1,0,70.1,291.4,61.5,65.1,1.744,60.3,3.517
2023,Taylor Pendrith,32,"$1,880,027",379,32,99,19,4,0,70.4,310.4,55.6,69.5,1.783,48.6,3.747
2023,Billy Horschel,36,"$1,810,825",485,23,64,12,3,0,70.9,298.5,62.6,64.1,1.77,50,3.547
2023,Danny Willett,36,"$1,791,651",511,22,67,12,1,0,71.2,292.1,58,61.2,1.772,57.7,3.164
2023,Garrick Higgo,24,"$1,784,592",586,33,103,19,1,0,70.4,310.8,57.3,66.9,1.756,50.7,3.942
2023,Callum Tarren,33,"$1,780,943",474,35,99,15,2,0,70.6,312,50.7,67.7,1.76,43.1,3.788
2022,Abraham Ancer,32,"$1,777,504",510,18,58,13,3,0,70.2,297.1,70.5,66.9,1.745,48,3.845
2023,Scott Stallings,38,"$1,758,306",282,29,84,16,1,0,70.9,301.1,56.4,65.9,1.798,47.1,3.393
2023,Dylan Wu,27,"$1,757,267",509,33,106,21,2,0,69.8,298.2,60.4,70.4,1.754,55.5,4.028
2022,Taylor Moore,30,"$1,751,237",748,28,84,17,4,0,70.2,302,61.8,68.3,1.762,48.2,4.012
